"Nº pers.","Clave de sexo","Centro","Área de nómina","Condición","Relación laboral","Rel. Laboral ok","Unidad organizativa","Grupo de invalidez","Categoría profesional","Tipo de contrato","fijo/Temp","GI","Disc","GrdOcup","Días","FTE","Personas","Mes",""
"00004344","hombres","Centro 2","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","Incapacidad Intelect","Empl. Servicio Limpieza","530","Temporal ","41","Sí","78.95","31","0.7895","1","Jan-22",""
"00002413","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Docente","Personal docente","Infantil","Incapacidad Física","Maestro","441","Temporal ","34","Sí","100","31","1","1","Jan-22",""
"00006097","hombres","Centro 5","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","8.44","17","0.046283871","0.548387097","Jan-22",""
"00005120","mujeres","Centro 6","Enseñanza Privada","No socios","Per. Cocina","Personal de cocina","Servicios","Incapacidad Física","Empl. Servicio Office","430","Temporal ","33","Sí","100","31","1","1","Jan-22",""
"00004542","mujeres","Centro 2","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","Incapacidad Intelect","Auxiliar Limpieza","530","Temporal ","33","Sí","65.78","31","0.6578","1","Jan-22",""
"00005251","hombres","Centro 1","Enseñanza Privada","No socios","Per. Manten.","Personal de mantenimiento y limpieza","Servicios","Incapacidad Intelect","Auxiliar Limpieza","530","Temporal ","33","Sí","52.63","31","0.5263","1","Jan-22",""
"00006097","hombres","Centro 5","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","13.64","14","0.0616","0.451612903","Jan-22",""
"00006003","mujeres","Centro 7","Enseñanza Privada","No socios","Per. Docente","Personal docente","FP","","Profesor","520","Temporal ","0","","64","31","0.64","0.5","Jan-22",""
"00006004","mujeres","Centro 7","Pago Delegado","No socios","Per. Docente","Personal docente","FP","","Profesor","520","Temporal ","0","","36","31","0.36","0.5","Jan-22",""
"00004737","hombres","Centro 7","Enseñanza Privada","No socios","Per. Docente","Personal docente","FP","","Profesor","510","Temporal ","0","","48","31","0.48","0.5","Jan-22",""
"00005983","hombres","Centro 7","Pago Delegado","No socios","Per. Docente","Personal docente","FP","","Profesor","510","Temporal ","0","","52","31","0.52","0.5","Jan-22",""
"00005468","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","","","Maestro","401","Temporal ","0","","100","22","0.709677419","0.709677419","Jan-22",""
"00005468","mujeres","Centro 3","Enseñanza Privada","No socios","Per. Docente","Personal docente","","","Maestro","410","Temporal ","0","","100","9","0.290322581","0.290322581","Jan-22",""
"00006184","hombres","Centro 1","Inst. Deportivas","No socios","Per. Act. Extr.","Personal de actividades extraescolares","Club Deportivo","","Monitor Extraescolares","501","Temporal ","0","","12.99","31","0.1299","1","Jan-22",""
