,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERIODO DE REFERENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fecha inicio,01/01/2023,,,,,,,,,,,,,,,,,,,,,,,,5,Tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nº SC Norm,cuando % norm difer 100% y % anualiz es 100%,,,,,,,,,,,,,,,,,,,,,,
,fecha fin,12/31/2023,,,,,,,,,,,,,,,,,,,,,,,,6,Normalizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nº SC Anualiz,,,,,,,,,,,,,,,,,,,,,,,
,días,365,,,,,,,,,,,,,,,,,,,,,,,,7,Anualizable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nº SC Norm y Anualiz,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Nombre Corto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp. Salarial,,Extrasalarial,,,,,,,,,,,,
id,Sexo,Fecha Nacimiento,Nivel de Estudios,Situación Familiar,Hijos/as,Fecha de Contratación,Fecha Fin Contrato,Fecha de Antigüedad,Fecha Inicio Sit. Contract.,Fecha Fin Sit. Contract.,% de jornada,% jornada reducida,motivo reducción,Clave de Contrato,Centro,Dpto-empresa,Puesto-empresa,Horario (continuo/partido),Trabajo a turnos,Escala-empresa,AGRUP. CLAS. PROF.,AGRUP. VALOR. PTO.,Convenio/Área,Categoría profesional,Grupo profesional,Nivel,Grupo de Cotización Seg.Social.,S.BASE,Conc.Sal.01,Conc.Sal.02,Conc.Sal.03,Conc.Sal.04,Conc.Sal.05,Conc.Sal.06,Conc.Sal.07,Conc.Sal.08,Conc.Sal.09,Conc.Sal.10,Conc.Sal.11,Conc.Sal.12,Conc.Sal.13,Conc.Sal.14,Conc.Sal.15,Conc.Sal.16,Conc.Sal.17,Conc.Sal.18,Conc.Sal.19,Conc.Sal.20,Conc.Sal.21,Conc.Sal.22,Conc.Sal.23,Conc.Sal.24,Conc.Sal.25,Conc.Sal.26,Conc.Sal.27,Conc.Sal.28,Conc.Sal.29,Conc.Sal.30,Conc.Sal.31,Conc.Sal.32,Conc.Sal.33,Conc.Sal.34,Conc.Sal.35,Conc.Sal.36,Conc.Sal.37,Conc.Sal.38,Conc.Sal.39,Conc.Sal.40,Conc.Sal.41,Conc.Sal.42,Conc.Sal.43,Conc.Sal.44,Conc.Sal.45,Conc.Sal.46,Conc.Sal.47,Conc.Sal.48,Conc.Sal.49,Conc.Sal.50,Conc.Sal.51,Conc.Sal.52,Conc.Sal.53,Conc.Sal.54,Conc.Sal.55,Conc.Sal.56,Conc.Sal.57,Conc.Sal.58,Conc.Sal.59,Conc.Sal.60,Conc.Sal.61,Conc.Sal.62,Conc.Sal.63,C.Extra.01,C.Extra.02,C.Extra.03,C.Extra.04,C.Extra.05,C.Extra.06,C.Extra.07,F.ini.cal,F.fin.cal,% normaliz,% anualiz,Check Periodo Ref.,Check Equiparado,Check Nº SC Norm,Check Nº SC Anualiz,Check Nº SC Norm y Anualiz,Check Equiparación,SALARIO BASE Eq,Tot COMPL.SAL Eq,TOTAL SALARIO Eq,Tot Extrasalarial Eq,TOTAL Retrib Eq,SALARIO BASE Ef,Tot COMPL.SAL Ef,TOTAL SALARIO Ef,Tot Extrasalarial Ef,TOTAL Retrib Ef,DIAS TRABAJ. EN EL AÑO,REPET.,Edad,Antigüedad,Intervalo Edad,Intervalo Antigüedad
1136,Mujer,05/23/1966,E.G.B.,3,0,08/20/2003,,08/20/2003,01/01/2023,12/31/2023,100%,,,189,Centro 6,Limpieza,Empl. Servicio Limpieza,Partido,No,Per. Manten.,GRUPO 04,ESCALA 21,Enseñanza Priv. Concertada,Empl. Servicio Limpieza,3,3.2,10,11975.77,0,0,0,0,2615.99,0,0,706.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283.04,1314.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.85,0,176.61,0,0,0,0,0,0,,0,12.24,0,0,160.09,0,0,133.28,0,0,0,01/01/2023,12/31/2023,100%,100%,Dentro,Sí,NO,NO,NO,NO,11975.77,0,11975.77,0,11976,11976,6356,18331,293,18625,365,,58,20,#NAME?,#REF!
1182,Mujer,08/11/1963,E.G.B.,3,0,09/01/2003,,09/01/2003,01/01/2023,12/31/2023,78.9%,,,289,Centro 3,Limpieza,Empl. Servicio Limpieza,Continuo,No,Per. Manten.,GRUPO 04,ESCALA 21,Enseñanza Priv. Concertada,Empl. Servicio Limpieza,3,3.2,10,8652.38,0,0,0,0,1890.23,0,0,510.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.32,1037.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.7,0,127.66,0,0,0,0,0,0,,0,12.24,0,0,591.37,312,1.12,345.62,0,0,0,01/01/2023,12/31/2023,79%,100%,Dentro,Sí,Sí,NO,NO,Sí,10966.26109,0,10966.26109,0,10966,8652,4785,13437,1250,14687,365,,60,20,#NAME?,#REF!
1205,Mujer,01/21/1966,E.G.B.,3,0,10/16/2003,,10/16/2003,01/01/2023,12/31/2023,78.9%,,,289,Centro 3,Limpieza,Empl. Servicio Limpieza,Continuo,No,Per. Manten.,GRUPO 04,ESCALA 21,Enseñanza Priv. Concertada,Empl. Servicio Limpieza,3,3.2,10,6187.09,0,0,0,0,1351.66,0,0,364.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012.32,1037.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.47,0,91.28,0,0,0,0,0,0,,0,12.24,0,0,65.84,853.12,0,0,0,0,0,01/01/2023,12/31/2023,79%,100%,Dentro,Sí,Sí,NO,NO,Sí,7841.685678,0,7841.685678,0,7842,6187,4064,10251,919,11170,365,,58,20,#NAME?,#REF!
