Período : 01.09.2023 - 31.08.2024,

Socio,Rango
1009,Entre 25.000 y 30.000
1010,Entre 37.500 y 40.000
1011,Entre 50.000 y 60.000
1012,Entre 37.500 y 40.000
1013,Entre 40.000 y 50.000
1014,Entre 25.000 y 30.000
1016,Entre 30.000 y 35.000
1017,Entre 40.000 y 50.000
1018,Entre 37.500 y 40.000
1020,Entre 40.000 y 50.000
1021,Entre 60.000 y 85.000
1022,Entre 30.000 y 35.000
1024,Entre 35.000 y 37.500
1025,Entre 50.000 y 60.000
1027,Entre 40.000 y 50.000
1028,Entre 60.000 y 85.000
1029,Entre 40.000 y 50.000
1031,Entre 30.000 y 35.000
1032,Entre 40.000 y 50.000
1033,Entre 40.000 y 50.000
1034,Entre 40.000 y 50.000
1037,Menos de 20.000
1038,Entre 37.500 y 40.000
1039,Entre 50.000 y 60.000
1041,Entre 40.000 y 50.000
1042,Entre 40.000 y 50.000
1043,Entre 40.000 y 50.000
1044,Entre 60.000 y 85.000
1045,Entre 40.000 y 50.000
1046,Entre 35.000 y 37.500
1047,Entre 40.000 y 50.000
1048,Entre 35.000 y 37.500
1049,Entre 60.000 y 85.000
1050,Entre 40.000 y 50.000
1051,Entre 40.000 y 50.000
1052,Entre 60.000 y 85.000
1053,Entre 37.500 y 40.000
1054,Entre 35.000 y 37.500
1055,Entre 37.500 y 40.000
1056,Entre 25.000 y 30.000
1057,Entre 30.000 y 35.000
1058,Entre 40.000 y 50.000
1059,Entre 40.000 y 50.000
1060,Entre 35.000 y 37.500
1061,Entre 37.500 y 40.000
1062,Entre 40.000 y 50.000
1063,Entre 37.500 y 40.000
1064,Entre 37.500 y 40.000
1065,Entre 60.000 y 85.000
1067,Entre 37.500 y 40.000
1068,Entre 40.000 y 50.000
1069,Entre 20.000 y 25.000
1070,Entre 40.000 y 50.000
1072,Entre 37.500 y 40.000
1073,Entre 40.000 y 50.000
1074,Entre 40.000 y 50.000
1076,Entre 40.000 y 50.000
1077,Entre 37.500 y 40.000
1079,Entre 40.000 y 50.000
1081,Entre 37.500 y 40.000
1082,Entre 37.500 y 40.000
1083,Entre 37.500 y 40.000
1085,Entre 40.000 y 50.000
1086,Entre 40.000 y 50.000
1088,Entre 40.000 y 50.000
1089,Entre 37.500 y 40.000
1090,Entre 30.000 y 35.000
1091,Entre 40.000 y 50.000
1092,Entre 40.000 y 50.000
1095,Entre 40.000 y 50.000
1096,Menos de 20.000
1097,Entre 50.000 y 60.000
1098,Entre 40.000 y 50.000
1099,Entre 40.000 y 50.000
1100,Menos de 20.000
1102,Entre 20.000 y 25.000
1103,Entre 20.000 y 25.000
1105,Entre 37.500 y 40.000
1106,Entre 40.000 y 50.000
1108,Entre 60.000 y 85.000
1111,Entre 30.000 y 35.000
1112,Entre 40.000 y 50.000
1113,Entre 40.000 y 50.000
1114,Entre 60.000 y 85.000
1115,Entre 40.000 y 50.000
1116,Entre 40.000 y 50.000
1117,Entre 35.000 y 37.500
1118,Entre 60.000 y 85.000
1119,Entre 30.000 y 35.000
1123,Entre 40.000 y 50.000
1124,Entre 35.000 y 37.500
1126,Entre 40.000 y 50.000
1127,Entre 60.000 y 85.000
1128,Entre 35.000 y 37.500
1129,Entre 60.000 y 85.000
1130,Menos de 20.000
1131,Entre 30.000 y 35.000
1132,Entre 60.000 y 85.000
1133,Entre 30.000 y 35.000
1134,Entre 40.000 y 50.000
1135,Entre 20.000 y 25.000
1137,Entre 35.000 y 37.500
1138,Entre 40.000 y 50.000
1139,Entre 40.000 y 50.000
1140,Entre 40.000 y 50.000
1142,Entre 40.000 y 50.000
1143,Entre 40.000 y 50.000
1144,Entre 30.000 y 35.000
1145,Entre 40.000 y 50.000
1146,Entre 60.000 y 85.000
1147,Entre 40.000 y 50.000
1148,Entre 37.500 y 40.000
1149,Entre 40.000 y 50.000
1150,Entre 37.500 y 40.000
1151,Entre 35.000 y 37.500
1152,Entre 40.000 y 50.000
1153,Entre 37.500 y 40.000
1154,Entre 30.000 y 35.000
1155,Entre 40.000 y 50.000
1156,Entre 37.500 y 40.000
1157,Entre 60.000 y 85.000
1159,Entre 20.000 y 25.000
1160,Entre 35.000 y 37.500
1161,Entre 20.000 y 25.000
1162,Entre 20.000 y 25.000
1163,Entre 35.000 y 37.500
1164,Entre 40.000 y 50.000
1165,Entre 37.500 y 40.000
1166,Entre 37.500 y 40.000
1167,Entre 60.000 y 85.000
1168,Entre 35.000 y 37.500
1171,Entre 40.000 y 50.000
1172,Entre 35.000 y 37.500
1173,Entre 40.000 y 50.000
1174,Entre 37.500 y 40.000
1175,Entre 35.000 y 37.500
1176,Entre 30.000 y 35.000
1177,Entre 40.000 y 50.000
1178,Entre 30.000 y 35.000
1179,Entre 20.000 y 25.000
1180,Entre 40.000 y 50.000
1183,Entre 40.000 y 50.000
1184,Menos de 20.000
1185,Entre 40.000 y 50.000
1186,Entre 37.500 y 40.000
1187,Entre 40.000 y 50.000
1188,Entre 37.500 y 40.000
